Touptek;Altair;OmegonPro;Rising;OMGA
1239 C3CMOS03500KPA;;;1239 C3CMOS03500KPA;
123a C3CMOS03500KPA(USB2.0);;;123a C3CMOS03500KPA(USB2.0);
123b C3CMOS10000KPA;;;123b C3CMOS10000KPA;
123c C3CMOS10000KPA(USB2.0);;;123c C3CMOS10000KPA(USB2.0);
123d I3ISPM05000KPA;;;123d I3ISPM05000KPA;
123e I3ISPM05000KPA(USB2.0);;;123e I3ISPM05000KPA(USB2.0);
123f I3ISPM03100KPA;;;123f I3ISPM03100KPA;
1240 I3ISPM03100KPA(USB2.0);;;1240 I3ISPM03100KPA(USB2.0);
1241 ATR3CMOS07100KPA;;;1241 ATR3CMOS07100KPA;
1242 ATR3CMOS07100KPA(USB2.0);;;1242 ATR3CMOS07100KPA(USB2.0);
1243 MTR3CMOS07100KPA;;;1243 MTR3CMOS07100KPA;
1244 MTR3CMOS07100KPA(USB2.0);;;1244 MTR3CMOS07100KPA(USB2.0);
1245 ATR3CMOS07100KMA;;;1245 ATR3CMOS07100KMA;
1246 ATR3CMOS07100KMA(USB2.0);;;1246 ATR3CMOS07100KMA(USB2.0);
1247 MTR3CMOS07100KMA;;;1247 MTR3CMOS07100KMA;
1248 MTR3CMOS07100KMA(USB2.0);;;1248 MTR3CMOS07100KMA(USB2.0);
1249 ATR3CMOS01700KPA;;;1249 ATR3CMOS01700KPA;
124a ATR3CMOS01700KPA(USB2.0);;;124a ATR3CMOS01700KPA(USB2.0);
124b MTR3CMOS01700KPA;;;124b MTR3CMOS01700KPA;
124c MTR3CMOS01700KPA(USB2.0);;;124c MTR3CMOS01700KPA(USB2.0);
124d ATR3CMOS01700KMA;;;124d ATR3CMOS01700KMA;
124e ATR3CMOS01700KMA(USB2.0);;;124e ATR3CMOS01700KMA(USB2.0);
124f MTR3CMOS01700KMA;;;124f MTR3CMOS01700KMA;
1250 MTR3CMOS01700KMA(USB2.0);;;1250 MTR3CMOS01700KMA(USB2.0);
1251 PUM02000KPA;;;1251 PUM02000KPA;
1252 E3ISPM18000KPA;;;1252 E3ISPM18000KPA;
1253 E3ISPM18000KPA(USB2.0);;;1253 E3ISPM18000KPA(USB2.0);
1254 E3ISPM20000KPB;;;1254 E3ISPM20000KPB;
1255 E3ISPM20000KPB(USB2.0);;;1255 E3ISPM20000KPB(USB2.0);
1256 E3ISPM21000KPA;;;1256 E3ISPM21000KPA;
1257 E3ISPM21000KPA(USB2.0);;;1257 E3ISPM21000KPA(USB2.0);
1258 ATR3CMOS21000KPA;;;1258 ATR3CMOS21000KPA;
1259 ATR3CMOS21000KPA(USB2.0);;;1259 ATR3CMOS21000KPA(USB2.0);
125a MTR3CMOS21000KPA;;;125a MTR3CMOS21000KPA;
125b MTR3CMOS21000KPA(USB2.0);;;125b MTR3CMOS21000KPA(USB2.0);
125c I3CMOS03100KMB;;;125c I3CMOS03100KMB;
125d I3CMOS03100KMB(USB2.0);;;125d I3CMOS03100KMB(USB2.0);
125e I3CMOS05000KMB;;;125e I3CMOS05000KMB;
125f I3CMOS05000KMB(USB2.0);;;125f I3CMOS05000KMB(USB2.0);
1260 I3ISPM03100KPB;;;1260 I3ISPM03100KPB;
1261 I3ISPM03100KPB(USB2.0);;;1261 I3ISPM03100KPB(USB2.0);
1262 I3ISPM05000KPB;;;1262 I3ISPM05000KPB;
1263 I3ISPM05000KPB(USB2.0);;;1263 I3ISPM05000KPB(USB2.0);
1264 I3CMOS00500KMA;;;1264 I3CMOS00500KMA;
1265 I3CMOS00500KMA(USB2.0);;;1265 I3CMOS00500KMA(USB2.0);
1266 I3ISPM00500KPA;;;1266 I3ISPM00500KPA;
1267 I3ISPM00500KPA(USB2.0);;;1267 I3ISPM00500KPA(USB2.0);
1268 I3CMOS06300KMA;;;1268 I3CMOS06300KMA;
1269 I3CMOS06300KMA(USB2.0);;;1269 I3CMOS06300KMA(USB2.0);
126a I3ISPM06300KPA;;;126a I3ISPM06300KPA;
126b I3ISPM06300KPA(USB2.0);;;126b I3ISPM06300KPA(USB2.0);
126e I3CMOS01500KMA;;;126e I3CMOS01500KMA;
126f I3CMOS01500KMA(USB2.0);;;126f I3CMOS01500KMA(USB2.0);
1270 I3CMOS03100KMA;;;1270 I3CMOS03100KMA;
1271 I3CMOS03100KMA(USB2.0);;;1271 I3CMOS03100KMA(USB2.0);
1272 I3CMOS03100KMB;;;1272 I3CMOS03100KMB;
1273 I3CMOS03100KMB(USB2.0);;;1273 I3CMOS03100KMB(USB2.0);
1274 I3CMOS05000KMA;;;1274 I3CMOS05000KMA;
1275 I3CMOS05000KMA(USB2.0);;;1275 I3CMOS05000KMA(USB2.0);
1276 I3CMOS05000KMB;;;1276 I3CMOS05000KMB;
1277 I3CMOS05000KMB(USB2.0);;;1277 I3CMOS05000KMB(USB2.0);
127a I3ISPM01500KPA;;;127a I3ISPM01500KPA;
127b I3ISPM01500KPA(USB2.0);;;127b I3ISPM01500KPA(USB2.0);
127c I3ISPM03100KPA;;;127c I3ISPM03100KPA;
127d I3ISPM03100KPA(USB2.0);;;127d I3ISPM03100KPA(USB2.0);
127e I3ISPM03100KPB;;;127e I3ISPM03100KPB;
127f I3ISPM03100KPB(USB2.0);;;127f I3ISPM03100KPB(USB2.0);
1280 I3ISPM05000KPA;;;1280 I3ISPM05000KPA;
1281 I3ISPM05000KPA(USB2.0);;;1281 I3ISPM05000KPA(USB2.0);
1282 I3ISPM05000KPB;;;1282 I3ISPM05000KPB;
1283 I3ISPM05000KPB(USB2.0);;;1283 I3ISPM05000KPB(USB2.0);
1284 IUA7100KPA;;;1284 IUA7100KPA;
1285 IUA7100KPA(USB2.0);;;1285 IUA7100KPA(USB2.0);
1286 IUA7100KMA;;;1286 IUA7100KMA;
1287 IUA7100KMA(USB2.0);;;1287 IUA7100KMA(USB2.0);
1288 IUA1700KPA;;;1288 IUA1700KPA;
1289 IUA1700KPA(USB2.0);;;1289 IUA1700KPA(USB2.0);
128a IUA1700KMA;;;128a IUA1700KMA;
128b IUA1700KMA(USB2.0);;;128b IUA1700KMA(USB2.0);
128c ECMOS05100KPA;;;128c ECMOS05100KPA;
128d E3ISPM15600KPA;;;128d E3ISPM15600KPA;
128e E3ISPM15600KPA(USB2.0);;;128e E3ISPM15600KPA(USB2.0);
128f IUC60000KMA;;;128f IUC60000KMA;
1290 IUC60000KMA(USB2.0);;;1290 IUC60000KMA(USB2.0);
1291 IUC60000KPA;;;1291 IUC60000KPA;
1292 IUC60000KPA(USB2.0);;;1292 IUC60000KPA(USB2.0);
1293 IUC26000KPA;;;1293 IUC26000KPA;
1294 IUC26000KPA(USB2.0);;;1294 IUC26000KPA(USB2.0);
129e GPCMOS01200KPF;;;129e GPCMOS01200KPF;
129f SL170-C-M;;;129f SL170-C-M;
12a0 SL170-C-M(USB2.0);;;12a0 SL170-C-M(USB2.0);
12a1 IUA2300KPA;;;12a1 IUA2300KPA;
12a2 IUA2300KPA(USB2.0);;;12a2 IUA2300KPA(USB2.0);
12a3 IUA2300KMA;;;12a3 IUA2300KMA;
12a4 IUA2300KMA(USB2.0);;;12a4 IUA2300KMA(USB2.0);
12a5 IUA2300KPB;;;12a5 IUA2300KPB;
12a6 IUA2300KPB(USB2.0);;;12a6 IUA2300KPB(USB2.0);
12a7 IUA2300KMB;;;12a7 IUA2300KMB;
12a8 IUA2300KMB(USB2.0);;;12a8 IUA2300KMB(USB2.0);
12ab MTR3CMOS45000KMA;;;12ab MTR3CMOS45000KMA;
12ac MTR3CMOS45000KMA(USB2.0);;;12ac MTR3CMOS45000KMA(USB2.0);
12ad C3CMOS05100KPB;;;12ad C3CMOS05100KPB;
12ae C3CMOS05100KPB(USB2.0);;;12ae C3CMOS05100KPB(USB2.0);
12af BigEye4200KMB;;;12af BigEye4200KMB;
12b0 BigEye4200KMB(USB2.0);;;12b0 BigEye4200KMB(USB2.0);
12b7 ATR3CMOS26000KPA;;;12b7 ATR3CMOS26000KPA;
12b8 ATR3CMOS26000KPA(USB2.0);;;12b8 ATR3CMOS26000KPA(USB2.0);
12b9 MTR3CMOS26000KPA;;;12b9 MTR3CMOS26000KPA;
12ba MTR3CMOS26000KPA(USB2.0);;;12ba MTR3CMOS26000KPA(USB2.0);
12bb ATR3CMOS09000KPA;;;12bb ATR3CMOS09000KPA;
12bc ATR3CMOS09000KPA(USB2.0);;;12bc ATR3CMOS09000KPA(USB2.0);
12bd MTR3CMOS09000KPA;;;12bd MTR3CMOS09000KPA;
12be MTR3CMOS09000KPA(USB2.0);;;12be MTR3CMOS09000KPA(USB2.0);
12bf ATR3CMOS26000KMA;;;12bf ATR3CMOS26000KMA;
12c0 ATR3CMOS26000KMA(USB2.0);;;12c0 ATR3CMOS26000KMA(USB2.0);
12c1 MTR3CMOS26000KMA;;;12c1 MTR3CMOS26000KMA;
12c2 MTR3CMOS26000KMA(USB2.0);;;12c2 MTR3CMOS26000KMA(USB2.0);
12c7 E3ISPM09000KPB;;;12c7 E3ISPM09000KPB;
12c8 E3ISPM09000KPB(USB2.0);;;12c8 E3ISPM09000KPB(USB2.0);
12cb E3ISPM08300KPC;;;12cb E3ISPM08300KPC;
12cc E3ISPM08300KPC(USB2.0);;;12cc E3ISPM08300KPC(USB2.0);
12cd G3CMOS21000KPA;;;12cd G3CMOS21000KPA;
12ce G3CMOS21000KPA(USB2.0);;;12ce G3CMOS21000KPA(USB2.0);
12cf ATR3CMOS10300KMA;;;12cf ATR3CMOS10300KMA;
12d0 ATR3CMOS10300KMA(USB2.0);;;12d0 ATR3CMOS10300KMA(USB2.0);
12d1 MTR3CMOS10300KMA;;;12d1 MTR3CMOS10300KMA;
12d2 MTR3CMOS10300KMA(USB2.0);;;12d2 MTR3CMOS10300KMA(USB2.0);
12d4 ITR3CMOS16000KMA;;;12d4 ITR3CMOS16000KMA;
12d5 ITR3CMOS16000KMA(USB2.0);;;12d5 ITR3CMOS16000KMA(USB2.0);
12d6 BigEye4200KMB;;;12d6 BigEye4200KMB;
12d7 BigEye4200KMB(USB2.0);;;12d7 BigEye4200KMB(USB2.0);
12d8 IUA4100KPA;;;12d8 IUA4100KPA;
12d9 IUA4100KPA(USB2.0);;;12d9 IUA4100KPA(USB2.0);
12da IUA2100KPA;;;12da IUA2100KPA;
12db IUA2100KPA(USB2.0);;;12db IUA2100KPA(USB2.0);
12de G3M462C;;;12de G3M462C;
12df G3M462C(USB2.0);;;12df G3M462C(USB2.0);
12e0 SkyEye62AC;;;12e0 SkyEye62AC;
12e1 SkyEye62AC(USB2.0);;;12e1 SkyEye62AC(USB2.0);
12e2 SkyEye62AM;;;12e2 SkyEye62AM;
12e3 SkyEye62AM(USB2.0);;;12e3 SkyEye62AM(USB2.0);
12e4 SkyEye24AC;;;12e4 SkyEye24AC;
12e5 SkyEye24AC(USB2.0);;;12e5 SkyEye24AC(USB2.0);
12e6 E3CMOS45000KMA;;;12e6 E3CMOS45000KMA;
12e7 E3CMOS45000KMA(USB2.0);;;12e7 E3CMOS45000KMA(USB2.0);
12e8 MAX62AC;;;12e8 MAX62AC;
12e9 MAX62AC(USB2.0);;;12e9 MAX62AC(USB2.0);
12ea OR455M;;;12ea OR455M;
12eb OR455M(USB2.0);;;12eb OR455M(USB2.0);
12ec MAX24AC;;;12ec MAX24AC;
12ed MAX24AC(USB2.0);;;12ed MAX24AC(USB2.0);
12ee MAX04AM;;;12ee MAX04AM;
12ef MAX04AM(USB2.0);;;12ef MAX04AM(USB2.0);
12f0 MAX04BM;;;12f0 MAX04BM;
12f1 MAX04BM(USB2.0);;;12f1 MAX04BM(USB2.0);
12f2 MAX04CM;;;12f2 MAX04CM;
12f3 MAX04CM(USB2.0);;;12f3 MAX04CM(USB2.0);
12f4 BigEye4200KMD;;;12f4 BigEye4200KMD;
12f5 BigEye4200KMD(USB2.0);;;12f5 BigEye4200KMD(USB2.0);
12f6 MTR3CMOS08300KPA;;;12f6 MTR3CMOS08300KPA;
12f7 MTR3CMOS08300KPA(USB2.0);;;12f7 MTR3CMOS08300KPA(USB2.0);
12fa BigEye4200KMC;;;12fa BigEye4200KMC;
12fb BigEye4200KMC(USB2.0);;;12fb BigEye4200KMC(USB2.0);
12fc BigEye4200KME;;;12fc BigEye4200KME;
12fd BigEye4200KME(USB2.0);;;12fd BigEye4200KME(USB2.0);
12fe BigEye4200KMA;;;12fe BigEye4200KMA;
12ff BigEye4200KMA(USB2.0);;;12ff BigEye4200KMA(USB2.0);
1300 E3ISPM45000KPA;;;1300 E3ISPM45000KPA;
1301 E3ISPM45000KPA(USB2.0);;;1301 E3ISPM45000KPA(USB2.0);
1302 G3CMOS08300KPA;;;1302 G3CMOS08300KPA;
1303 G3CMOS08300KPA(USB2.0);;;1303 G3CMOS08300KPA(USB2.0);
1304 E3ISPM02100KPA;;;1304 E3ISPM02100KPA;
1305 E3ISPM02100KPA(USB2.0);;;1305 E3ISPM02100KPA(USB2.0);
1306 ITR3CMOS45000KMA;;;1306 ITR3CMOS45000KMA;
1307 ITR3CMOS45000KMA(USB2.0);;;1307 ITR3CMOS45000KMA(USB2.0);
1308 ITR3CMOS07100KMA;;;1308 ITR3CMOS07100KMA;
1309 ITR3CMOS07100KMA(USB2.0);;;1309 ITR3CMOS07100KMA(USB2.0);
130c ITR3CMOS07100KPA;;;130c ITR3CMOS07100KPA;
130d ITR3CMOS07100KPA(USB2.0);;;130d ITR3CMOS07100KPA(USB2.0);
1310 ITR3CMOS08300KPA;;;1310 ITR3CMOS08300KPA;
1311 ITR3CMOS08300KPA(USB2.0);;;1311 ITR3CMOS08300KPA(USB2.0);
1312 E3ISPM32000KPA;;;1312 E3ISPM32000KPA;
1313 E3ISPM32000KPA(USB2.0);;;1313 E3ISPM32000KPA(USB2.0);
1314 E3ISPM08000KPA;;;1314 E3ISPM08000KPA;
1315 E3ISPM08000KPA(USB2.0);;;1315 E3ISPM08000KPA(USB2.0);
1316 IUC26000KMA;;;1316 IUC26000KMA;
1317 IUC26000KMA(USB2.0);;;1317 IUC26000KMA(USB2.0);
1318 MTR3CMOS10300KPA;;;1318 MTR3CMOS10300KPA;
1319 MTR3CMOS10300KPA(USB2.0);;;1319 MTR3CMOS10300KPA(USB2.0);
131a IUA5000KPA;;;131a IUA5000KPA;
131b IUA5000KPA(USB2.0);;;131b IUA5000KPA(USB2.0);
1322 E3ISPM45000KPA;;;1322 E3ISPM45000KPA;
1323 E3ISPM45000KPA(USB2.0);;;1323 E3ISPM45000KPA(USB2.0);
1324 E3ISPM32000KPA;;;1324 E3ISPM32000KPA;
1325 E3ISPM32000KPA(USB2.0);;;1325 E3ISPM32000KPA(USB2.0);
1328 E3ISPM20000KPC;;;1328 E3ISPM20000KPC;
1329 E3ISPM20000KPC(USB2.0);;;1329 E3ISPM20000KPC(USB2.0);
132a ECMOS00500KMA;;;132a ECMOS00500KMA;
132b E3ISPM12000KPB;;;132b E3ISPM12000KPB;
132c E3ISPM12000KPB(USB2.0);;;132c E3ISPM12000KPB(USB2.0);
132d BigEye1300KMA;;;132d BigEye1300KMA;
132e BigEye1300KMA(USB2.0);;;132e BigEye1300KMA(USB2.0);
1330 BigEye10000KPA;;;1330 BigEye10000KPA;
1331 BigEye10000KPA(USB2.0);;;1331 BigEye10000KPA(USB2.0);
1332 SWIR1300KMA;;;1332 SWIR1300KMA;
1333 SWIR1300KMA(USB2.0);;;1333 SWIR1300KMA(USB2.0);
1334 GPCMOS01200KPF;;;1334 GPCMOS01200KPF;
1335 IUA2300KPB;;;1335 IUA2300KPB;
1336 IUA2300KPB(USB2.0);;;1336 IUA2300KPB(USB2.0);
1337 IUA1300KMA;;;1337 IUA1300KMA;
1338 IUA1300KMA(USB2.0);;;1338 IUA1300KMA(USB2.0);
1339 IUA4200KMA;;;1339 IUA4200KMA;
133a IUA4200KMA(USB2.0);;;133a IUA4200KMA(USB2.0);
133b IUA4200KMB;;;133b IUA4200KMB;
133c IUA4200KMB(USB2.0);;;133c IUA4200KMB(USB2.0);
1341 IUA4200KME;;;1341 IUA4200KME;
1342 IUA4200KME(USB2.0);;;1342 IUA4200KME(USB2.0);
1343 E3CMOS45000KMA;;;1343 E3CMOS45000KMA;
1344 E3CMOS45000KMA(USB2.0);;;1344 E3CMOS45000KMA(USB2.0);
1345 UA310CB;;;1345 UA310CB;
1346 UA510CA;;;1346 UA510CA;
1349 UA1000CA;;;1349 UA1000CA;
134b E3ISPM06300KPB;;;134b E3ISPM06300KPB;
134c E3ISPM06300KPB(USB2.0);;;134c E3ISPM06300KPB(USB2.0);
1351 IUA20400KMA;;;1351 IUA20400KMA;
1352 IUA20400KMA(USB2.0);;;1352 IUA20400KMA(USB2.0);
1353 IUA20400KPA;;;1353 IUA20400KPA;
1354 IUA20400KPA(USB2.0);;;1354 IUA20400KPA(USB2.0);
1365 CTR3CMOS00400KMA;;;1365 CTR3CMOS00400KMA;
1366 CTR3CMOS00400KMA(USB2.0);;;1366 CTR3CMOS00400KMA(USB2.0);
1367 GPCMOS02000KPA;;;1367 GPCMOS02000KPA;
1369 GPCMOS02000KPB;;;1369 GPCMOS02000KPB;
136e CytoCam06300KMA;;;136e CytoCam06300KMA;
136f I3ISPM02300KPA;;;136f I3ISPM02300KPA;
1370 I3ISPM02300KPA(USB2.0);;;1370 I3ISPM02300KPA(USB2.0);
1371 I3CMOS02300KPA;;;1371 I3CMOS02300KPA;
1372 I3CMOS02300KPA(USB2.0);;;1372 I3CMOS02300KPA(USB2.0);
1373 IUA8300KPA;;;1373 IUA8300KPA;
1374 IUA8300KPA(USB2.0);;;1374 IUA8300KPA(USB2.0);
1375 C3CMOS05100KPA;;;1375 C3CMOS05100KPA;
1376 C3CMOS05100KPA(USB2.0);;;1376 C3CMOS05100KPA(USB2.0);
1377 C3CMOS10000KPA;;;1377 C3CMOS10000KPA;
1378 C3CMOS10000KPA(USB2.0);;;1378 C3CMOS10000KPA(USB2.0);
137b UCMOS05100KPA;;;137b UCMOS05100KPA;
137e UCMOS10000KPA;;;137e UCMOS10000KPA;
137f UCMOS12000KPA;;;137f UCMOS12000KPA;
1380 UA510CA;;;1380 UA510CA;
1381 ECMOS03100KPA;;;1381 ECMOS03100KPA;
1382 IUA503KMA;;;1382 IUA503KMA;
1383 IUA503KMA(USB2.0);;;1383 IUA503KMA(USB2.0);
1384 IUA390KMA;;;1384 IUA390KMA;
1385 IUA390KMA(USB2.0);;;1385 IUA390KMA(USB2.0);
1388 E3ISPM08300KPD;;;1388 E3ISPM08300KPD;
1389 E3ISPM08300KPD(USB2.0);;;1389 E3ISPM08300KPD(USB2.0);
138a SWIR1300KMA;;;138a SWIR1300KMA;
138b SWIR1300KMA(USB2.0);;;138b SWIR1300KMA(USB2.0);
138c NK6200KMA;;;138c NK6200KMA;
138d NK6200KMA(USB2.0);;;138d NK6200KMA(USB2.0);
138e E3ISPM45000KPB;;;138e E3ISPM45000KPB;
138f E3ISPM45000KPB(USB2.0);;;138f E3ISPM45000KPB(USB2.0);
1390 U3CMOS12000KPA;;;1390 U3CMOS12000KPA;
1391 U3CMOS12000KPA(USB2.0);;;1391 U3CMOS12000KPA(USB2.0);
1392 L3CMOS05100KPA;;;1392 L3CMOS05100KPA;
1393 L3CMOS05100KPA(USB2.0);;;1393 L3CMOS05100KPA(USB2.0);
1394 L3CMOS10000KPA;;;1394 L3CMOS10000KPA;
1395 L3CMOS10000KPA(USB2.0);;;1395 L3CMOS10000KPA(USB2.0);
1396 LCMOS05100KPA;;;1396 LCMOS05100KPA;
1397 LCMOS10000KPA;;;1397 LCMOS10000KPA;
1398 LCMOS12000KPA;;;1398 LCMOS12000KPA;
1399 U3CMOS05100KPA;;;1399 U3CMOS05100KPA;
139a U3CMOS05100KPA(USB2.0);;;139a U3CMOS05100KPA(USB2.0);
139b U3CMOS10000KPA;;;139b U3CMOS10000KPA;
139c U3CMOS10000KPA(USB2.0);;;139c U3CMOS10000KPA(USB2.0);
139d CTR3CMOS00390KMA;;;139d CTR3CMOS00390KMA;
139e CTR3CMOS00390KMA(USB2.0);;;139e CTR3CMOS00390KMA(USB2.0);
13a1 U3CMOS08500KPA;;;13a1 U3CMOS08500KPA;
13a2 U3CMOS08500KPA(USB2.0);;;13a2 U3CMOS08500KPA(USB2.0);
13a3 L3CMOS08500KPA;;;13a3 L3CMOS08500KPA;
13a4 L3CMOS08500KPA(USB2.0);;;13a4 L3CMOS08500KPA(USB2.0);
13a5 UCMOS08000KPB;;;13a5 UCMOS08000KPB;
13a6 UCMOS09000KPB;;;13a6 UCMOS09000KPB;
13a7 LCMOS08000KPA;;;13a7 LCMOS08000KPA;
13a8 LCMOS09000KPA;;;13a8 LCMOS09000KPA;
13a9 E3ISPM08300KPE;;;13a9 E3ISPM08300KPE;
13aa E3ISPM08300KPE(USB2.0);;;13aa E3ISPM08300KPE(USB2.0);
13ad E3ISPM25000KPA;;;13ad E3ISPM25000KPA;
13ae E3ISPM25000KPA(USB2.0);;;13ae E3ISPM25000KPA(USB2.0);
13af ATR3CMOS09000KMA;;;13af ATR3CMOS09000KMA;
13b0 ATR3CMOS09000KMA(USB2.0);;;13b0 ATR3CMOS09000KMA(USB2.0);
13b1 IUA1500KPA;;;13b1 IUA1500KPA;
13b2 IUA1500KPA(USB2.0);;;13b2 IUA1500KPA(USB2.0);
13b3 IUA1500KMA;;;13b3 IUA1500KMA;
13b4 IUA1500KMA(USB2.0);;;13b4 IUA1500KMA(USB2.0);
13b5 IUA503KMB;;;13b5 IUA503KMB;
13b6 IUA503KMB(USB2.0);;;13b6 IUA503KMB(USB2.0);
13b7 SCCCD06AM;;;13b7 SCCCD06AM;
13b8 SCCCD06AM(USB2.0);;;13b8 SCCCD06AM(USB2.0);
13b9 I3ISPM02300KPB;;;13b9 I3ISPM02300KPB;
13ba I3ISPM02300KPB(USB2.0);;;13ba I3ISPM02300KPB(USB2.0);
13bd I3CMOS02300KMB;;;13bd I3CMOS02300KMB;
13be I3CMOS02300KMB(USB2.0);;;13be I3CMOS02300KMB(USB2.0);
13bf SWIR330KMA;;;13bf SWIR330KMA;
13c0 SWIR330KMA(USB2.0);;;13c0 SWIR330KMA(USB2.0);
13c1 BigEye10000KPA;;;13c1 BigEye10000KPA;
13c2 BigEye10000KPA(USB2.0);;;13c2 BigEye10000KPA(USB2.0);
13c3 LCMOS03100KPB;;;13c3 LCMOS03100KPB;
13c4 MAX04AM;;;13c4 MAX04AM;
13c5 MAX04AM(USB2.0);;;13c5 MAX04AM(USB2.0);
13c8 IUA390KMA;;;13c8 IUA390KMA;
13c9 IUA390KMA(USB2.0);;;13c9 IUA390KMA(USB2.0);
13ca IUA2800KMA;;;13ca IUA2800KMA;
13cb IUA2800KMA(USB2.0);;;13cb IUA2800KMA(USB2.0);
13cc IUA2800KPA;;;13cc IUA2800KPA;
13cd IUA2800KPA(USB2.0);;;13cd IUA2800KPA(USB2.0);
13ce IUA45000KMA;;;13ce IUA45000KMA;
13cf IUA45000KMA(USB2.0);;;13cf IUA45000KMA(USB2.0);
13d0 IUA503KMB;;;13d0 IUA503KMB;
13d1 IUA503KMB(USB2.0);;;13d1 IUA503KMB(USB2.0);
13d2 IUA5000KPA;;;13d2 IUA5000KPA;
13d3 IUA5000KPA(USB2.0);;;13d3 IUA5000KPA(USB2.0);
13d4 IUA5000KMA;;;13d4 IUA5000KMA;
13d5 IUA5000KMA(USB2.0);;;13d5 IUA5000KMA(USB2.0);
13d6 MAX04BM;;;13d6 MAX04BM;
13d7 MAX04BM(USB2.0);;;13d7 MAX04BM(USB2.0);
13d8 MAX04CM;;;13d8 MAX04CM;
13d9 MAX04CM(USB2.0);;;13d9 MAX04CM(USB2.0);
13da ATR3CMOS26000KPA;;;13da ATR3CMOS26000KPA;
13db ATR3CMOS26000KPA(USB2.0);;;13db ATR3CMOS26000KPA(USB2.0);
13dc MTR3CMOS26000KPA;;;13dc MTR3CMOS26000KPA;
13dd MTR3CMOS26000KPA(USB2.0);;;13dd MTR3CMOS26000KPA(USB2.0);
13de MTR3CMOS26000KMA;;;13de MTR3CMOS26000KMA;
13df MTR3CMOS26000KMA(USB2.0);;;13df MTR3CMOS26000KMA(USB2.0);
13e2 IUA8000KMA;;;13e2 IUA8000KMA;
13e3 IUA8000KMA(USB2.0);;;13e3 IUA8000KMA(USB2.0);
13e4 MTR3CMOS07100KPA;;;13e4 MTR3CMOS07100KPA;
13e5 MTR3CMOS07100KPA(USB2.0);;;13e5 MTR3CMOS07100KPA(USB2.0);
13e6 MTR3CMOS07100KMA;;;13e6 MTR3CMOS07100KMA;
13e7 MTR3CMOS07100KMA(USB2.0);;;13e7 MTR3CMOS07100KMA(USB2.0);
13ea ITR3CMOS00500KMA;;;13ea ITR3CMOS00500KMA;
13eb ITR3CMOS00500KMA(USB2.0);;;13eb ITR3CMOS00500KMA(USB2.0);
13ec CTR3CMOS07100KMA;;;13ec CTR3CMOS07100KMA;
13ed CTR3CMOS07100KMA(USB2.0);;;13ed CTR3CMOS07100KMA(USB2.0);
13f0 CTR3CMOS20000KMA;;;13f0 CTR3CMOS20000KMA;
13f1 CTR3CMOS20000KMA(USB2.0);;;13f1 CTR3CMOS20000KMA(USB2.0);
13f2 CTR3CMOS20000KPA;;;13f2 CTR3CMOS20000KPA;
13f3 CTR3CMOS20000KPA(USB2.0);;;13f3 CTR3CMOS20000KPA(USB2.0);
13f6 IUA4100KPA;;;13f6 IUA4100KPA;
13f7 IUA4100KPA(USB2.0);;;13f7 IUA4100KPA(USB2.0);
13f8 SWIR1300KMB;;;13f8 SWIR1300KMB;
13f9 SWIR1300KMB(USB2.0);;;13f9 SWIR1300KMB(USB2.0);
13fc CTR3CMOS45000KMA;;;13fc CTR3CMOS45000KMA;
13fd CTR3CMOS45000KMA(USB2.0);;;13fd CTR3CMOS45000KMA(USB2.0);
1402 IUA1700KPA;;;1402 IUA1700KPA;
1403 IUA1700KPA(USB2.0);;;1403 IUA1700KPA(USB2.0);
1406 IUA45000KMA;;;1406 IUA45000KMA;
1407 IUA45000KMA(USB2.0);;;1407 IUA45000KMA(USB2.0);
1408 IUA6300KPA;;;1408 IUA6300KPA;
1409 IUA6300KPA(USB2.0);;;1409 IUA6300KPA(USB2.0);
140a IUA5000KPA;;;140a IUA5000KPA;
140b IUA5000KPA(USB2.0);;;140b IUA5000KPA(USB2.0);
140c ITR3CMOS45000KMA;;;140c ITR3CMOS45000KMA;
140d ITR3CMOS45000KMA(USB2.0);;;140d ITR3CMOS45000KMA(USB2.0);
140e ITR3CMOS10300KPA;;;140e ITR3CMOS10300KPA;
140f ITR3CMOS10300KPA(USB2.0);;;140f ITR3CMOS10300KPA(USB2.0);
1410 ITR3CMOS26000KPA;;;1410 ITR3CMOS26000KPA;
1411 ITR3CMOS26000KPA(USB2.0);;;1411 ITR3CMOS26000KPA(USB2.0);
1412 ITR3CMOS26000KMA;;;1412 ITR3CMOS26000KMA;
1413 ITR3CMOS26000KMA(USB2.0);;;1413 ITR3CMOS26000KMA(USB2.0);
1414 ITR3CMOS09000KPA;;;1414 ITR3CMOS09000KPA;
1415 ITR3CMOS09000KPA(USB2.0);;;1415 ITR3CMOS09000KPA(USB2.0);
1416 ITR3CMOS09000KMA;;;1416 ITR3CMOS09000KMA;
1417 ITR3CMOS09000KMA(USB2.0);;;1417 ITR3CMOS09000KMA(USB2.0);
1418 ITR3CMOS20000KPA;;;1418 ITR3CMOS20000KPA;
1419 ITR3CMOS20000KPA(USB2.0);;;1419 ITR3CMOS20000KPA(USB2.0);
141a ITR3CMOS20000KMA;;;141a ITR3CMOS20000KMA;
141b ITR3CMOS20000KMA(USB2.0);;;141b ITR3CMOS20000KMA(USB2.0);
141c MTR3CMOS09000KPA;;;141c MTR3CMOS09000KPA;
